Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
INST_RETIRED.ANY_P,44622258,44630044,44672362,44703933,44623077,44660447,44706755,44684708,44671893,44704600
UOPS_EXECUTED.STALL_CYCLES,2793193,2712017,2806896,2646522,2983407,2730647,2666564,2731554,2854512,2767888
EXE_ACTIVITY.4_PORTS_UTIL,4366806,4471001,4464159,4475627,4438972,4455137,4377153,4460807,4359577,4384769
ARITH.DIVIDER_ACTIVE,19180,18894,19085,19003,18927,19282,18993,19207,19139,18830
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,128573,136798,126344,128969,135432,131141,146477,119374,137879,137564
BR_INST_RETIRED.FAR_BRANCH,298,300,300,302,298,300,300,296,300,302
UOPS_EXECUTED.X87,3337797,3342390,3335664,3336178,3335789,3335665,3338042,3335388,3335549,3336800
LOAD_HIT_PRE.SW_PF,2,2,3,1,3,2,3,2,1,2
BR_MISP_RETIRED.NEAR_CALL,560,574,542,532,545,553,538,526,558,615
CYCLE_ACTIVITY.STALLS_TOTAL,2734809,2716087,2803144,2758374,2919318,2688812,3149177,4693676,3754412,2915050
UOPS_ISSUED.SLOW_LEA,6394863,6320243,6429667,6322576,6426433,6360644,6325289,6316006,6374504,6250290
UOPS_RETIRED.TOTAL_CYCLES,23643501,23558350,23649760,23624379,23856065,23422856,23853599,25586321,24453122,23982891
CPU_CLK_UNHALTED.THREAD_P,23763708,23885054,24760193,24237801,25056450,24137021,24223723,23652379,23784690,23800170
UOPS_EXECUTED.CYCLES_GE_2_UOPS_EXEC,17118973,17201302,17147403,17124858,17158377,17154081,17167909,17139910,17121408,17150239
CPU_CLK_THREAD_UNHALTED.REF_XCLK,361820,195086,198543,187653,197984,193545,187975,186947,182244,190845
MACHINE_CLEARS.COUNT,1994,2069,1638,2095,1609,1141,1395,1132,3110,1138
CPU_CLK_UNHALTED.THREAD_ANY,23653292,23483205,23237216,23825019,23839064,23356554,24423195,23324220,23442156,23588086
UOPS_EXECUTED.THREAD,58790575,58719702,58770504,58899678,58746781,58767409,59000026,58662818,58928472,58833407
UOPS_EXECUTED.CYCLES_GE_3_UOPS_EXEC,12023098,12054779,12099105,12023756,11958304,12076124,11912269,12019490,12086174,11999715
UOPS_EXECUTED.CORE_CYCLES_NONE,2732709,2769927,2605197,2846451,2855367,2635104,3124223,2561453,2680042,2698865
EXE_ACTIVITY.BOUND_ON_STORES,220070,210873,218086,207022,207944,214876,231558,210681,207570,207655
CYCLE_ACTIVITY.CYCLES_L1D_MISS,1433718,1225905,1320733,1555817,2989811,1388241,1697138,1205646,1144635,2192743
LSD.CYCLES_ACTIVE,0,0,0,0,0,0,0,0,0,0
INT_MISC.RECOVERY_CYCLES,330487,455129,342576,321050,312518,291519,317131,282643,341194,340772
CPU_CLK_UNHALTED.REF_XCLK,381843,195634,184616,187643,187172,190420,195365,191470,192560,188168
UOPS_DISPATCHED_PORT.PORT_0,7960609,7970358,7968324,7982979,7958538,7961436,7945064,7970073,7974684,7969267
UOPS_DISPATCHED_PORT.PORT_1,9733167,9718616,9663015,9690956,9696718,9861528,9751555,9695572,9690699,9761814
UOPS_DISPATCHED_PORT.PORT_2,8651917,8645734,8639663,8663370,8654351,8674505,8680165,8678071,8670258,8666943
UOPS_DISPATCHED_PORT.PORT_3,8729227,8796228,8725120,8726520,8749226,8735732,8736668,8681654,8721977,8748760
UOPS_DISPATCHED_PORT.PORT_4,3896974,3901590,3892217,3899750,3899670,3893236,3910418,3882147,3886360,3920764
UOPS_DISPATCHED_PORT.PORT_5,7379266,7529689,7515260,7472068,7540259,7476833,7503174,7473511,7450794,7591850
UOPS_DISPATCHED_PORT.PORT_6,11365812,12476274,12357345,12403045,12449425,12376869,12356387,12267399,12334460,12447324
UOPS_DISPATCHED_PORT.PORT_7,740099,740855,740749,742970,744144,742182,744832,745250,739426,746851
INT_MISC.RECOVERY_CYCLES_ANY,282433,306726,335568,311016,354804,313586,302721,342537,291438,318588
INST_RETIRED.PREC_DIST,44627354,44686659,44661456,44707751,44657471,44688831,44695963,44647380,44650165,44696715
LSD.CYCLES_4_UOPS,0,0,0,0,0,0,0,0,0,0
EXE_ACTIVITY.3_PORTS_UTIL,5511462,5551433,5530128,5556872,5571181,5564416,5541111,5477677,5548185,5572155
LD_BLOCKS.STORE_FORWARD,11006,11203,11269,11281,10540,11207,11237,11173,11177,11388
CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY,298224,189896,187753,190828,191524,194654,190367,191131,177854,188459
