MetricGroup,MetricName,MetricExpr,MetricThreshold,ScaleUnit,BriefDescription,PublicDescription
Backend,tma_core_bound,tma_backend_bound - tma_memory_bound,tma_core_bound > 0.1 & tma_backend_bound > 0.2,100%,This metric represents fraction of slots where Core non-memory issues were of a bottleneck,This metric represents fraction of slots where Core non-memory issues were of a bottleneck.  Shortage in hardware compute resources; or dependencies in software's instructions are both categorized under Core Bound. Hence it may indicate the machine ran out of an out-of-order resource; certain execution units are overloaded or dependencies in program's data- or instruction-flow are limiting the performance (e.g. FP-chained long-latency arithmetic operations)
Backend,tma_info_core_ilp,"(UOPS_EXECUTED.CORE / 2 / (cpu@UOPS_EXECUTED.CORE\,cmask\=1@ / 2 if #SMT_on else cpu@UOPS_EXECUTED.CORE\,cmask\=1@) if #SMT_on else UOPS_EXECUTED.CORE / (cpu@UOPS_EXECUTED.CORE\,cmask\=1@ / 2 if #SMT_on else cpu@UOPS_EXECUTED.CORE\,cmask\=1@))",,,Instruction-Level-Parallelism (average number of uops executed when there is execution) per-core,
Backend,tma_info_memory_l2mpki,1e3 * MEM_LOAD_UOPS_RETIRED.L2_MISS / INST_RETIRED.ANY,,,L2 cache true misses per kilo instruction for retired demand loads,
Backend,tma_memory_bound,"((min(CPU_CLK_UNHALTED.THREAD, CYCLE_ACTIVITY.STALLS_LDM_PENDING) + RESOURCE_STALLS.SB) / (min(CPU_CLK_UNHALTED.THREAD, CYCLE_ACTIVITY.CYCLES_NO_EXECUTE) + (cpu@UOPS_EXECUTED.CORE\,cmask\=1@ - (cpu@UOPS_EXECUTED.CORE\,cmask\=3@ if tma_info_thread_ipc > 1.8 else cpu@UOPS_EXECUTED.CORE\,cmask\=2@)) / 2 - (RS_EVENTS.EMPTY_CYCLES if tma_fetch_latency > 0.1 else 0) + RESOURCE_STALLS.SB) if #SMT_on else min(CPU_CLK_UNHALTED.THREAD, CYCLE_ACTIVITY.CYCLES_NO_EXECUTE) + cpu@UOPS_EXECUTED.CORE\,cmask\=1@ - (cpu@UOPS_EXECUTED.CORE\,cmask\=3@ if tma_info_thread_ipc > 1.8 else cpu@UOPS_EXECUTED.CORE\,cmask\=2@) - (RS_EVENTS.EMPTY_CYCLES if tma_fetch_latency > 0.1 else 0) + RESOURCE_STALLS.SB) * tma_backend_bound",tma_memory_bound > 0.2 & tma_backend_bound > 0.2,100%,This metric represents fraction of slots the Memory subsystem within the Backend was a bottleneck,This metric represents fraction of slots the Memory subsystem within the Backend was a bottleneck.  Memory Bound estimates fraction of slots where pipeline is likely stalled due to demand load or store instructions. This accounts mainly for (1) non-completed in-flight memory demand loads which coincides with execution units starvation; in addition to (2) cases where stores could impose backpressure on the pipeline when many of them get buffered at the same time (less common out of the two)
Bad,tma_info_bad_spec_ipmisp_indirect,"tma_info_inst_mix_instructions / (UOPS_RETIRED.RETIRE_SLOTS / UOPS_ISSUED.ANY * cpu@BR_MISP_EXEC.ALL_BRANCHES\,umask\=0xE4@)",tma_info_bad_spec_ipmisp_indirect < 1e3,,Instructions per retired mispredicts for indirect CALL or JMP branches (lower number means higher occurrence rate),
Bad,tma_info_bad_spec_ipmispredict,INST_RETIRED.ANY / BR_MISP_RETIRED.ALL_BRANCHES,tma_info_bad_spec_ipmispredict < 200,,Number of Instructions per non-speculative Branch Misprediction (JEClear) (lower number means higher occurrence rate),
BadSpec,tma_branch_mispredicts,BR_MISP_RETIRED.ALL_BRANCHES / (BR_MISP_RETIRED.ALL_BRANCHES + MACHINE_CLEARS.COUNT) * tma_bad_speculation,tma_branch_mispredicts > 0.1 & tma_bad_speculation > 0.15,100%,This metric represents fraction of slots the CPU has wasted due to Branch Misprediction,"This metric represents fraction of slots the CPU has wasted due to Branch Misprediction.  These slots are either wasted by uops fetched from an incorrectly speculated program path; or stalls when the out-of-order part of the machine needs to recover its state from a speculative path. Sample with: BR_MISP_RETIRED.ALL_BRANCHES. Related metrics: tma_info_bad_spec_branch_misprediction_cost, tma_mispredicts_resteers"
BadSpec,tma_info_bad_spec_ipmispredict,INST_RETIRED.ANY / BR_MISP_RETIRED.ALL_BRANCHES,tma_info_bad_spec_ipmispredict < 200,,Number of Instructions per non-speculative Branch Misprediction (JEClear) (lower number means higher occurrence rate),
BadSpec,tma_machine_clears,tma_bad_speculation - tma_branch_mispredicts,tma_machine_clears > 0.1 & tma_bad_speculation > 0.15,100%,This metric represents fraction of slots the CPU has wasted due to Machine Clears,"This metric represents fraction of slots the CPU has wasted due to Machine Clears.  These slots are either wasted by uops fetched prior to the clear; or stalls the out-of-order portion of the machine needs to recover its state after the clear. For example; this can happen due to memory ordering Nukes (e.g. Memory Disambiguation) or Self-Modifying-Code (SMC) nukes. Sample with: MACHINE_CLEARS.COUNT. Related metrics: tma_clears_resteers, tma_contested_accesses, tma_data_sharing, tma_false_sharing, tma_l1_bound, tma_microcode_sequencer, tma_ms_switches, tma_remote_cache"
BigFoot,tma_icache_misses,ICACHE.IFDATA_STALL / tma_info_thread_clks,tma_icache_misses > 0.05 & (tma_fetch_latency > 0.1 & tma_frontend_bound > 0.15),100%,This metric represents fraction of cycles the CPU was stalled due to instruction cache misses,
BigFoot,tma_itlb_misses,(14 * ITLB_MISSES.STLB_HIT + ITLB_MISSES.WALK_DURATION) / tma_info_thread_clks,tma_itlb_misses > 0.05 & (tma_fetch_latency > 0.1 & tma_frontend_bound > 0.15),100%,This metric represents fraction of cycles the CPU was stalled due to Instruction TLB (ITLB) misses,This metric represents fraction of cycles the CPU was stalled due to Instruction TLB (ITLB) misses. Sample with: ITLB_MISSES.WALK_COMPLETED
BrMispredicts,tma_branch_mispredicts,BR_MISP_RETIRED.ALL_BRANCHES / (BR_MISP_RETIRED.ALL_BRANCHES + MACHINE_CLEARS.COUNT) * tma_bad_speculation,tma_branch_mispredicts > 0.1 & tma_bad_speculation > 0.15,100%,This metric represents fraction of slots the CPU has wasted due to Branch Misprediction,"This metric represents fraction of slots the CPU has wasted due to Branch Misprediction.  These slots are either wasted by uops fetched from an incorrectly speculated program path; or stalls when the out-of-order part of the machine needs to recover its state from a speculative path. Sample with: BR_MISP_RETIRED.ALL_BRANCHES. Related metrics: tma_info_bad_spec_branch_misprediction_cost, tma_mispredicts_resteers"
