EventName,EventAlias,EventType,Unit,Topic,Encoding,ScaleUnit,BriefDescription,PublicDescription
branch-instructions,branches,Hardware event,,,,,,
branch-misses,,Hardware event,,,,,,
bus-cycles,,Hardware event,,,,,,
cache-misses,,Hardware event,,,,,,
cache-references,,Hardware event,,,,,,
cpu-cycles,cycles,Hardware event,,,,,,
instructions,,Hardware event,,,,,,
ref-cycles,,Hardware event,,,,,,
alignment-faults,,Software event,,,,,,
bpf-output,,Software event,,,,,,
cgroup-switches,,Software event,,,,,,
context-switches,cs,Software event,,,,,,
cpu-clock,,Software event,,,,,,
cpu-migrations,migrations,Software event,,,,,,
dummy,,Software event,,,,,,
emulation-faults,,Software event,,,,,,
major-faults,,Software event,,,,,,
minor-faults,,Software event,,,,,,
page-faults,faults,Software event,,,,,,
task-clock,,Software event,,,,,,
duration_time,,Tool event,tool,,,,,
user_time,,Tool event,tool,,,,,
system_time,,Tool event,tool,,,,,
L1-dcache-loads,cpu/L1-dcache-loads/,Hardware cache event,cache,cpu,,,,
L1-dcache-load-misses,cpu/L1-dcache-load-misses/,Hardware cache event,cache,cpu,,,,
L1-dcache-stores,cpu/L1-dcache-stores/,Hardware cache event,cache,cpu,,,,
L1-icache-load-misses,cpu/L1-icache-load-misses/,Hardware cache event,cache,cpu,,,,
LLC-loads,cpu/LLC-loads/,Hardware cache event,cache,cpu,,,,
LLC-load-misses,cpu/LLC-load-misses/,Hardware cache event,cache,cpu,,,,
LLC-stores,cpu/LLC-stores/,Hardware cache event,cache,cpu,,,,
LLC-store-misses,cpu/LLC-store-misses/,Hardware cache event,cache,cpu,,,,
dTLB-loads,cpu/dTLB-loads/,Hardware cache event,cache,cpu,,,,
dTLB-load-misses,cpu/dTLB-load-misses/,Hardware cache event,cache,cpu,,,,
dTLB-stores,cpu/dTLB-stores/,Hardware cache event,cache,cpu,,,,
dTLB-store-misses,cpu/dTLB-store-misses/,Hardware cache event,cache,cpu,,,,
iTLB-loads,cpu/iTLB-loads/,Hardware cache event,cache,cpu,,,,
iTLB-load-misses,cpu/iTLB-load-misses/,Hardware cache event,cache,cpu,,,,
branch-loads,cpu/branch-loads/,Hardware cache event,cache,cpu,,,,
branch-load-misses,cpu/branch-load-misses/,Hardware cache event,cache,cpu,,,,
node-loads,cpu/node-loads/,Hardware cache event,cache,cpu,,,,
node-load-misses,cpu/node-load-misses/,Hardware cache event,cache,cpu,,,,
node-stores,cpu/node-stores/,Hardware cache event,cache,cpu,,,,
node-store-misses,cpu/node-store-misses/,Hardware cache event,cache,cpu,,,,
branch-instructions,cpu/branch-instructions/,Kernel PMU event,cpu,,cpu/event=0xc4/,,,
branch-misses,cpu/branch-misses/,Kernel PMU event,cpu,,cpu/event=0xc5/,,,
bus-cycles,cpu/bus-cycles/,Kernel PMU event,cpu,,"cpu/event=0x3c,umask=0x1/",,,
cache-misses,cpu/cache-misses/,Kernel PMU event,cpu,,"cpu/event=0x2e,umask=0x41/",,,
cache-references,cpu/cache-references/,Kernel PMU event,cpu,,"cpu/event=0x2e,umask=0x4f/",,,
cpu-cycles,cpu/cpu-cycles/,Kernel PMU event,cpu,,cpu/event=0x3c/,,,
instructions,cpu/instructions/,Kernel PMU event,cpu,,cpu/event=0xc0/,,,
mem-loads,cpu/mem-loads/,Kernel PMU event,cpu,,"cpu/event=0xcd,umask=0x1,ldlat=0x3/",,,
mem-stores,cpu/mem-stores/,Kernel PMU event,cpu,,"cpu/event=0xd0,umask=0x82/",,,
ref-cycles,cpu/ref-cycles/,Kernel PMU event,cpu,,"cpu/event=0,umask=0x3/",,,
topdown-fetch-bubbles,cpu/topdown-fetch-bubbles/,Kernel PMU event,cpu,,"cpu/event=0x9c,umask=0x1/",,,
topdown-recovery-bubbles,cpu/topdown-recovery-bubbles/,Kernel PMU event,cpu,,"cpu/event=0xd,umask=0x3,cmask=0x1,any=0x1/",2,,
topdown-slots-issued,cpu/topdown-slots-issued/,Kernel PMU event,cpu,,"cpu/event=0xe,umask=0x1/",,,
topdown-slots-retired,cpu/topdown-slots-retired/,Kernel PMU event,cpu,,"cpu/event=0xc2,umask=0x2/",,,
topdown-total-slots,cpu/topdown-total-slots/,Kernel PMU event,cpu,,"cpu/event=0x3c,umask=0,any=0x1/",2,,
msr/aperf/,,Kernel PMU event,msr,,msr/event=0x1/,,,
msr/cpu_thermal_margin/,,Kernel PMU event,msr,,msr/event=0x7/,1C,,
msr/mperf/,,Kernel PMU event,msr,,msr/event=0x2/,,,
msr/smi/,,Kernel PMU event,msr,,msr/event=0x4/,,,
msr/tsc/,,Kernel PMU event,msr,,msr/event=0/,,,
uncore_imc_0/cas_count_read/,,Kernel PMU event,uncore_imc_0,,"uncore_imc_0/event=0x4,umask=0x3/",6.10352E-05MiB,,
uncore_imc_0/cas_count_write/,,Kernel PMU event,uncore_imc_0,,"uncore_imc_0/event=0x4,umask=0xc/",6.10352E-05MiB,,
uncore_imc_0/clockticks/,,Kernel PMU event,uncore_imc_0,,"uncore_imc_0/event=0,umask=0/",,,
uncore_imc_1/cas_count_read/,,Kernel PMU event,uncore_imc_1,,"uncore_imc_1/event=0x4,umask=0x3/",6.10352E-05MiB,,
uncore_imc_1/cas_count_write/,,Kernel PMU event,uncore_imc_1,,"uncore_imc_1/event=0x4,umask=0xc/",6.10352E-05MiB,,
uncore_imc_1/clockticks/,,Kernel PMU event,uncore_imc_1,,"uncore_imc_1/event=0,umask=0/",,,
uncore_imc_4/cas_count_read/,,Kernel PMU event,uncore_imc_4,,"uncore_imc_4/event=0x4,umask=0x3/",6.10352E-05MiB,,
uncore_imc_4/cas_count_write/,,Kernel PMU event,uncore_imc_4,,"uncore_imc_4/event=0x4,umask=0xc/",6.10352E-05MiB,,
uncore_imc_4/clockticks/,,Kernel PMU event,uncore_imc_4,,"uncore_imc_4/event=0,umask=0/",,,
uncore_imc_5/cas_count_read/,,Kernel PMU event,uncore_imc_5,,"uncore_imc_5/event=0x4,umask=0x3/",6.10352E-05MiB,,
uncore_imc_5/cas_count_write/,,Kernel PMU event,uncore_imc_5,,"uncore_imc_5/event=0x4,umask=0xc/",6.10352E-05MiB,,
uncore_imc_5/clockticks/,,Kernel PMU event,uncore_imc_5,,"uncore_imc_5/event=0,umask=0/",,,
l1d.replacement,,Kernel PMU event,cpu,cache,"cpu/event=0x51,period=0x1e8483,umask=0x1/",,L1D data line replacements,"This event counts when new data lines are brought into the L1 Data cache, which cause other lines to be evicted from the cache"
l1d_pend_miss.fb_full,,Kernel PMU event,cpu,cache,"cpu/event=0x48,cmask=0x1,period=0x1e8483,umask=0x2/",,Cycles a demand request was blocked due to Fill Buffers unavailability,Cycles a demand request was blocked due to Fill Buffers unavailability
l1d_pend_miss.pending,,Kernel PMU event,cpu,cache,"cpu/event=0x48,period=0x1e8483,umask=0x1/",,L1D miss outstanding duration in cycles,Increments the number of outstanding L1D misses every cycle. Set Cmask = 1 and Edge =1 to count occurrences
